epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3322,2.1067,1.4803,0.57009,0.51634,0.50087,0.2413,1.7258,1.7522,1.7088,0.00023654,0.00023654,0.00023654
2,1.2256,1.5079,1.3785,0.64792,0.43681,0.49817,0.22136,1.9943,1.7927,1.9533,0.00046867,0.00046867,0.00046867
3,1.2389,1.4726,1.3864,0.6751,0.50704,0.53481,0.25874,1.8653,1.8131,1.947,0.0006949,0.0006949,0.0006949
4,1.2138,1.3987,1.3629,0.74351,0.50014,0.54791,0.26682,1.8236,1.5743,1.8303,0.00068749,0.00068749,0.00068749
5,1.1763,1.3316,1.3499,0.70551,0.54483,0.59208,0.26488,1.8719,1.4679,1.8821,0.00068749,0.00068749,0.00068749
6,1.1392,1.2603,1.326,0.72523,0.5628,0.61425,0.28178,1.8758,1.4176,1.911,0.00067866,0.00067866,0.00067866
7,1.1417,1.2219,1.3026,0.82324,0.56274,0.64403,0.29234,1.8596,1.3313,1.8438,0.00066982,0.00066982,0.00066982
8,1.1105,1.1621,1.2955,0.71325,0.61607,0.63932,0.33428,1.6664,1.2435,1.6881,0.00066099,0.00066099,0.00066099
9,1.0996,1.1268,1.2762,0.79995,0.6176,0.67383,0.31905,1.7814,1.2683,1.8057,0.00065215,0.00065215,0.00065215
10,1.0805,1.1008,1.2714,0.79298,0.6166,0.70089,0.35169,1.6349,1.1609,1.7023,0.00064331,0.00064331,0.00064331
11,1.0464,1.0547,1.2555,0.79148,0.59107,0.67374,0.35231,1.68,1.179,1.7535,0.00063448,0.00063448,0.00063448
12,1.06,1.0405,1.259,0.76591,0.59777,0.66564,0.32989,1.7364,1.1798,1.7532,0.00062564,0.00062564,0.00062564
13,1.0383,1.0194,1.2376,0.82203,0.61822,0.69559,0.36242,1.6401,1.1578,1.6768,0.00061681,0.00061681,0.00061681
14,1.0311,0.98197,1.2255,0.81801,0.60018,0.6956,0.33605,1.7225,1.1834,1.7188,0.00060797,0.00060797,0.00060797
15,1.0024,0.96328,1.2132,0.81977,0.6293,0.70379,0.37532,1.6359,1.1153,1.6593,0.00059914,0.00059914,0.00059914
16,1.005,0.94596,1.219,0.83438,0.63849,0.72565,0.37689,1.5615,1.1089,1.6473,0.0005903,0.0005903,0.0005903
17,0.98944,0.92456,1.2097,0.82914,0.66301,0.74346,0.3979,1.5827,1.0065,1.6395,0.00058146,0.00058146,0.00058146
18,0.98184,0.91588,1.1984,0.82513,0.65694,0.74163,0.41621,1.5175,0.96162,1.6149,0.00057263,0.00057263,0.00057263
19,0.97379,0.89155,1.1992,0.85665,0.65414,0.73647,0.39242,1.6028,1.0587,1.6126,0.00056379,0.00056379,0.00056379
20,0.95546,0.87309,1.1808,0.83504,0.69082,0.75887,0.40997,1.5485,0.95303,1.6192,0.00055496,0.00055496,0.00055496
21,0.94539,0.85294,1.1789,0.83101,0.68637,0.7562,0.4264,1.4778,0.97661,1.539,0.00054612,0.00054612,0.00054612
22,0.93685,0.85535,1.1718,0.8628,0.69259,0.75688,0.40733,1.5437,0.92793,1.6278,0.00053728,0.00053728,0.00053728
23,0.93058,0.84601,1.1772,0.86923,0.68777,0.75732,0.418,1.513,0.94523,1.5882,0.00052845,0.00052845,0.00052845
24,0.92068,0.81359,1.1587,0.81652,0.70018,0.75668,0.40903,1.5892,0.94244,1.6376,0.00051961,0.00051961,0.00051961
25,0.92128,0.82813,1.1548,0.86977,0.6891,0.76555,0.43245,1.49,0.91423,1.5382,0.00051078,0.00051078,0.00051078
26,0.92018,0.79966,1.1531,0.80231,0.71255,0.76904,0.43125,1.4994,0.92416,1.5699,0.00050194,0.00050194,0.00050194
27,0.90737,0.79794,1.1424,0.86199,0.70491,0.77661,0.45413,1.4137,0.85697,1.5201,0.00049311,0.00049311,0.00049311
28,0.8971,0.77694,1.1422,0.84954,0.73411,0.79481,0.46771,1.3921,0.86211,1.4675,0.00048427,0.00048427,0.00048427
29,0.90309,0.76839,1.138,0.8752,0.71091,0.78229,0.44953,1.4136,0.87377,1.4963,0.00047543,0.00047543,0.00047543
30,0.89768,0.76506,1.1358,0.88873,0.70103,0.7792,0.46374,1.3988,0.83112,1.4794,0.0004666,0.0004666,0.0004666
31,0.87839,0.75167,1.1256,0.88371,0.71079,0.79175,0.4645,1.422,0.8372,1.5129,0.00045776,0.00045776,0.00045776
32,0.87816,0.75735,1.132,0.89391,0.7096,0.79127,0.47185,1.3394,0.79067,1.4314,0.00044893,0.00044893,0.00044893
33,0.84953,0.7162,1.1169,0.89828,0.71961,0.8032,0.48711,1.3584,0.79521,1.4671,0.00044009,0.00044009,0.00044009
34,0.85221,0.71502,1.1078,0.84819,0.75178,0.79656,0.46694,1.3793,0.79689,1.4695,0.00043126,0.00043126,0.00043126
35,0.85523,0.70568,1.1128,0.90923,0.74504,0.81193,0.46639,1.4481,0.78461,1.5079,0.00042242,0.00042242,0.00042242
36,0.8476,0.70447,1.1047,0.86547,0.7318,0.79932,0.4878,1.3568,0.7921,1.469,0.00041358,0.00041358,0.00041358
37,0.83636,0.71138,1.1116,0.85531,0.74719,0.80105,0.49608,1.281,0.78823,1.406,0.00040475,0.00040475,0.00040475
38,0.82896,0.6825,1.0988,0.88278,0.72382,0.79968,0.50858,1.3222,0.76376,1.4257,0.00039591,0.00039591,0.00039591
39,0.83073,0.68298,1.1037,0.87407,0.76152,0.81674,0.48703,1.3994,0.78487,1.4922,0.00038708,0.00038708,0.00038708
40,0.83499,0.68574,1.1016,0.89886,0.73484,0.81099,0.50266,1.3123,0.75307,1.401,0.00037824,0.00037824,0.00037824
41,0.81877,0.669,1.0864,0.89491,0.75141,0.81979,0.50554,1.3092,0.73959,1.3953,0.00036941,0.00036941,0.00036941
42,0.79418,0.65312,1.0808,0.9136,0.70264,0.80899,0.50769,1.2721,0.74731,1.3806,0.00036057,0.00036057,0.00036057
43,0.80035,0.66029,1.0813,0.90887,0.73661,0.82529,0.53518,1.2147,0.70093,1.3452,0.00035173,0.00035173,0.00035173
